Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-116.875,90.0,top
D1,183.75,-59.875,90.0,bottom
D10,109.75,-78.375,90.0,bottom
D11,183.75,-96.875,90.0,bottom
D12,165.25,-92.275,90.0,bottom
D13,146.75,-87.625,90.0,bottom
D14,128.25,-92.275,90.0,bottom
D15,109.75,-96.875,90.0,bottom
D16,188.45,-123.75,180.0,bottom
D17,174.75,-115.375,90.0,bottom
D18,156.25,-110.75,90.0,bottom
D2,165.25,-55.275,90.0,bottom
D3,146.75,-50.625,90.0,bottom
D4,128.25,-55.25,90.0,bottom
D5,109.75,-59.875,90.0,bottom
D6,183.75,-78.375,90.0,bottom
D7,165.25,-73.775,90.0,bottom
D8,146.75,-69.125,90.0,bottom
D9,128.25,-73.725,90.0,bottom
S1,175.75,-55.5,0.0,top
S10,101.75,-74.0,0.0,top
S11,175.75,-92.5,0.0,top
S12,157.25,-87.875,0.0,top
S13,138.75,-83.25,0.0,top
S14,120.25,-87.875,0.0,top
S15,101.75,-92.5,0.0,top
S16,185.25,-115.625,0.0,top
S17,166.75,-111.0,0.0,top
S18,148.25,-106.375,0.0,top
S2,157.25,-50.875,0.0,top
S3,138.75,-46.25,0.0,top
S4,120.25,-50.875,0.0,top
S5,101.75,-55.5,0.0,top
S6,175.75,-74.0,0.0,top
S7,157.25,-69.375,0.0,top
S8,138.75,-64.75,0.0,top
S9,120.25,-69.375,0.0,top
SW1,134.29125,-106.4925,90.0,top
U1,120.25,-113.915,180.0,top
